run_id,timestamp,backend,mode,image_file,resolution,ssp,depth,mpi_ranks,omp_threads,ngpus,time_seconds
cpu_serial_2026-04-19_time_16h52m28s,2026-04-19_time_16h52m28s,cpu,serial,cpu_640x360_ssp2_depth2_2026-04-19_time_16h52m28s.png,640x360,2,2,1,1,0,1.713594
cpu_serial_2026-04-19_time_16h21m22s,2026-04-19_time_16h21m22s,cpu,serial,cpu_640x360_ssp16_depth2_2026-04-19_time_16h21m22s.png,640x360,16,2,1,1,0,62.576794
cpu_serial_2026-04-19_time_18h08m10s,2026-04-19_time_18h08m10s,cpu,serial,cpu_1280x720_ssp128_depth10_2026-04-19_time_18h08m10s.png,1280x720,128,10,1,1,0,2439.215744
cpu_serial_2026-04-21_time_17h40m03s,2026-04-21_time_17h40m03s,cpu,serial,cpu_2560x1440_ssp768_depth12_2026-04-21_time_17h40m03s.png,2560x1440,768,12,1,1,0,59815.946777
cpu_serial_2026-04-22_time_13h26m27s,2026-04-22_time_13h26m27s,cpu,serial,cpu_3840x2160_ssp768_depth12_2026-04-22_time_13h26m27s.png,3840x2160,768,12,1,1,0,132844.888376
cpu_serial_2026-04-26_time_02h31m21s,2026-04-26_time_02h31m21s,cpu,serial,cpu_1600x900_ssp768_depth12_2026-04-26_time_02h31m21s.png,1600x900,768,12,1,1,0,23052.477131
cpu_serial_2026-04-26_time_09h49m36s,2026-04-26_time_09h49m36s,cpu,serial,cpu_640x360_ssp4_depth2_2026-04-26_time_09h49m36s.png,640x360,4,2,1,1,0,15.635519
cpu_serial_2026-04-26_time_11h58m51s,2026-04-26_time_11h58m51s,cpu,serial,cpu_640x360_ssp2_depth2_2026-04-26_time_11h58m51s.png,640x360,2,2,1,1,0,7.877110
